iter	Passed	Remaining
1026	71483	206934
1027	71547	206846
1028	71610	206758
1029	71673	206670
1030	71737	206584
1031	71800	206494
1032	71862	206404
1033	71926	206319
1034	71988	206228
1035	72053	206144
1036	72116	206056
1037	72179	205968
1038	72241	205877
1039	72306	205794
1040	72368	205705
1041	72431	205615
1042	72492	205524
1043	72553	205428
1044	72655	205452
1045	72716	205358
1046	72780	205272
1047	72845	205191
1048	72911	205110
1049	72973	205020
1050	73035	204930
1051	73103	204857
1052	73168	204773
1053	73250	204740
1054	73335	204713
1055	73405	204646
1056	73468	204558
1057	73534	204479
1058	73596	204389
1059	73661	204305
1060	73727	204227
1061	73786	204129
1062	73852	204049
1063	73913	203956
1064	73976	203870
1065	74039	203783
1066	74106	203707
1067	74168	203616
1068	74238	203547
1069	74354	203607
1070	74436	203571
1071	74507	203506
1072	74605	203513
1073	74672	203437
1074	74770	203444
1075	74835	203363
1076	74903	203289
1077	74974	203225
1078	75039	203142
1079	75104	203060
1080	75168	202975
1081	75239	202909
1082	75315	202857
1083	75392	202808
1084	75460	202734
1085	75524	202650
1086	75587	202563
1087	75654	202486
1088	75718	202401
1089	75782	202318
1090	75847	202236
1091	75911	202153
1092	75974	202065
1093	76038	201982
1094	76103	201900
1095	76167	201816
1096	76232	201735
1097	76294	201645
1098	76358	201562
1099	76422	201477
1100	76484	201389
1101	76550	201311
1102	76615	201228
1103	76679	201144
1104	76741	201056
1105	76807	200977
1106	76903	200978
1107	76973	200909
1108	77043	200841
1109	77110	200765
1110	77176	200686
1111	77241	200604
1112	77303	200517
1113	77365	200426
1114	77427	200339
1115	77489	200249
1116	77548	200154
1117	77615	200078
1118	77675	199984
1119	77739	199901
1120	77804	199820
1121	77867	199735
1122	77928	199645
1123	77991	199558
1124	78055	199473
1125	78123	199401
1126	78187	199320
1127	78250	199233
1128	78312	199144
1129	78375	199060
1130	78441	198982
1131	78501	198888
1132	78567	198811
1133	78633	198733
1134	78698	198653
1135	78762	198569
1136	78825	198484
1137	78887	198397
1138	78961	198340
1139	79055	198332
1140	79118	198245
1141	79183	198166
1142	79244	198076
1143	79309	197995
1144	79372	197910
1145	79434	197825
1146	79496	197736
1147	79567	197671
1148	79630	197585
1149	79690	197494
1150	79754	197411
1151	79818	197330
1152	79885	197253
1153	79949	197171
1154	80010	197082
1155	80074	197000
1156	80140	196923
1157	80205	196841
1158	80269	196760
1159	80332	196676
1160	80395	196592
1161	80455	196500
1162	80518	196415
1163	80585	196340
1164	80647	196254
1165	80711	196171
1166	80774	196087
1167	80840	196010
1168	80903	195927
1169	80967	195845
1170	81031	195762
1171	81121	195743
1172	81195	195685
1173	81256	195597
1174	81317	195508
1175	81380	195422
1176	81439	195330
1177	81501	195244
1178	81566	195164
1179	81627	195076
1180	81690	194991
1181	81755	194913
1182	81818	194829
1183	81881	194745
1184	81943	194660
1185	82007	194577
1186	82061	194473
1187	82123	194386
1188	82188	194307
1189	82251	194224
1190	82312	194135
1191	82374	194050
1192	82434	193959
1193	82497	193876
1194	82562	193797
1195	82625	193715
1196	82688	193629
1197	82750	193544
1198	82815	193466
1199	82879	193384
1200	82941	193299
1201	83007	193223
1202	83073	193147
1203	83139	193071
1204	83204	192992
1205	83291	192966
1206	83356	192887
1207	83419	192803
1208	83479	192714
1209	83546	192639
1210	83608	192555
1211	83672	192474
1212	83734	192389
1213	83797	192305
1214	83862	192227
1215	83926	192147
1216	83990	192066
1217	84051	191979
1218	84115	191899
1219	84178	191816
1220	84258	191772
1221	84339	191731
1222	84406	191656
1223	84495	191634
1224	84569	191575
1225	84631	191491
1226	84694	191407
1227	84756	191323
1228	84819	191240
1229	84883	191159
1230	84947	191081
1231	85013	191005
1232	85080	190930
1233	85145	190853
1234	85208	190770
1235	85269	190682
1236	85359	190661
1237	85430	190597
1238	85493	190515
1239	85560	190441
1240	85624	190361
1241	85688	190279
1242	85751	190199
1243	85816	190120
1244	85886	190054
1245	85953	189979
1246	86017	189900
1247	86081	189820
1248	86146	189743
1249	86211	189664
1250	86274	189582
1251	86337	189500
1252	86401	189421
1253	86465	189341
1254	86529	189260
1255	86593	189182
1256	86658	189104
1257	86719	189018
1258	86785	188941
1259	86846	188855
1260	86922	188803
1261	86987	188725
1262	87058	188661
1263	87149	188640
1264	87236	188609
1265	87306	188542
1266	87366	188454
1267	87431	188377
1268	87531	188374
1269	87599	188304
1270	87661	188220
1271	87728	188147
1272	87800	188085
1273	87865	188008
1274	87929	187927
1275	87991	187843
1276	88055	187764
1277	88119	187684
1278	88195	187631
1279	88262	187557
1280	88326	187478
1281	88389	187397
1282	88454	187320
1283	88520	187243
1284	88583	187162
1285	88646	187081
1286	88711	187005
1287	88778	186930
1288	88845	186858
1289	88913	186787
1290	88976	186704
1291	89043	186633
1292	89110	186559
1293	89176	186484
1294	89239	186402
1295	89304	186327
1296	89367	186245
1297	89431	186166
1298	89494	186086
1299	89561	186013
1300	89653	185991
1301	89720	185918
1302	89786	185844
1303	89850	185764
1304	89916	185689
1305	89981	185613
1306	90048	185538
1307	90112	185461
1308	90176	185382
1309	90237	185296
1310	90307	185230
1311	90370	185149
1312	90430	185063
1313	90493	184980
1314	90555	184898
1315	90619	184820
1316	90683	184740
1317	90746	184660
1318	90811	184582
1319	90874	184502
1320	90939	184425
1321	91003	184346
1322	91068	184270
1323	91134	184196
1324	91196	184113
1325	91259	184032
1326	91319	183946
1327	91384	183869
1328	91447	183788
1329	91511	183710
1330	91577	183636
1331	91639	183554
1332	91705	183478
1333	91810	183483
1334	91877	183411
1335	91942	183334
1336	92005	183253
1337	92070	183177
1338	92133	183098
1339	92197	183019
1340	92267	182952
1341	92328	182868
1342	92392	182790
1343	92453	182706
1344	92521	182635
1345	92585	182556
1346	92646	182473
1347	92711	182397
1348	92775	182319
1349	92836	182235
1350	92902	182159
1351	92968	182085
1352	93033	182009
1353	93099	181936
1354	93162	181856
1355	93223	181772
1356	93288	181695
1357	93351	181615
1358	93418	181543
1359	93481	181463
1360	93544	181385
1361	93606	181302
1362	93670	181225
1363	93733	181144
